ts	tag	url	leader	alerts_processed	sink_q	sink_drops	verdict_n	v_p50	v_p95	v_p99	notify_n	n_p50	n_p95	n_p99	pg_conn	redis_alert_kb	redis_cache_kb	sse
1789189288.905220500	m4-soak	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	4	3140312	1011720	NA
1789189300.465109900	m4-soak	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	5	3140312	1011720	NA
1789189312.129882500	m4-soak	http://127.0.0.1:8081	1	0	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	5	3140312	1011720	NA
1789189323.773090300	m4-soak	http://127.0.0.1:8081	1	100	0	0	0	NaN	NaN	NaN	0	NaN	NaN	NaN	6	3150544	1011720	NA
1789189335.368828600	m4-soak	http://127.0.0.1:8081	1	100	0	0	100	8.4866455	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189347.033329500	m4-soak	http://127.0.0.1:8081	1	200	0	0	200	0.1878459	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3141200	1011720	NA
1789189358.683072300	m4-soak	http://127.0.0.1:8081	1	200	0	0	200	0.1878459	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3141200	1011720	NA
1789189370.252465100	m4-soak	http://127.0.0.1:8081	1	200	0	0	200	0.1878459	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3141200	1011720	NA
1789189381.871233000	m4-soak	http://127.0.0.1:8081	1	300	0	0	300	0.1878459	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189393.466673200	m4-soak	http://127.0.0.1:8081	1	300	0	0	300	0.1878459	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189405.091730300	m4-soak	http://127.0.0.1:8081	1	300	0	0	300	0.1878459	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3150592	1011720	NA
1789189416.723807500	m4-soak	http://127.0.0.1:8081	1	400	0	0	400	0.0723773	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189428.312864900	m4-soak	http://127.0.0.1:8081	1	400	0	0	400	0.0723773	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189439.912302600	m4-soak	http://127.0.0.1:8081	1	500	0	0	500	0.0723773	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189451.519914400	m4-soak	http://127.0.0.1:8081	1	500	0	0	500	0.0723773	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189463.158834700	m4-soak	http://127.0.0.1:8081	1	500	0	0	500	0.0723773	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189474.762359000	m4-soak	http://127.0.0.1:8081	1	600	0	0	600	0.0677385	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189486.366225700	m4-soak	http://127.0.0.1:8081	1	600	0	0	600	0.0677385	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189497.940722400	m4-soak	http://127.0.0.1:8081	1	700	0	0	700	0.0677385	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189509.521140600	m4-soak	http://127.0.0.1:8081	1	700	0	0	700	0.0677385	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189521.151178200	m4-soak	http://127.0.0.1:8081	1	700	0	0	700	0.0677385	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189532.774420800	m4-soak	http://127.0.0.1:8081	1	800	0	0	800	0.0641766	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189544.362329600	m4-soak	http://127.0.0.1:8081	1	800	0	0	800	0.0641766	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189555.959816900	m4-soak	http://127.0.0.1:8081	1	900	0	0	900	0.0642947	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3160784	1011720	NA
1789189567.543203200	m4-soak	http://127.0.0.1:8081	1	900	0	0	900	0.0642947	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189579.350131400	m4-soak	http://127.0.0.1:8081	1	900	0	0	900	0.0642947	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189591.053684300	m4-soak	http://127.0.0.1:8081	1	1000	0	0	1000	0.0642064	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189602.668044200	m4-soak	http://127.0.0.1:8081	1	1000	0	0	1000	0.0642064	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189614.446349000	m4-soak	http://127.0.0.1:8081	1	1000	0	0	1000	0.0642064	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3150544	1011720	NA
1789189626.177469900	m4-soak	http://127.0.0.1:8081	1	1100	0	0	1100	0.0642947	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189638.132544300	m4-soak	http://127.0.0.1:8081	1	1100	0	0	1100	0.0642947	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189649.869912500	m4-soak	http://127.0.0.1:8081	1	1200	0	0	1200	0.0642064	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189661.591572200	m4-soak	http://127.0.0.1:8081	1	1200	0	0	1200	0.0642064	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189673.261049700	m4-soak	http://127.0.0.1:8081	1	1200	0	0	1200	0.0642064	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189684.979561500	m4-soak	http://127.0.0.1:8081	1	1300	0	0	1300	0.0642064	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189696.743917600	m4-soak	http://127.0.0.1:8081	1	1300	0	0	1300	0.0642064	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189708.317673300	m4-soak	http://127.0.0.1:8081	1	1400	0	0	1400	0.0642064	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189720.071801500	m4-soak	http://127.0.0.1:8081	1	1400	0	0	1400	0.0642064	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189731.799583100	m4-soak	http://127.0.0.1:8081	1	1400	0	0	1400	0.0642064	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189743.343439800	m4-soak	http://127.0.0.1:8081	1	1500	0	0	1500	0.0642064	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189754.815849000	m4-soak	http://127.0.0.1:8081	1	1500	0	0	1500	0.0642064	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189766.260610400	m4-soak	http://127.0.0.1:8081	1	1600	0	0	1600	0.0641766	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3160784	1011720	NA
1789189777.738148500	m4-soak	http://127.0.0.1:8081	1	1600	0	0	1600	0.0641766	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189789.180672600	m4-soak	http://127.0.0.1:8081	1	1600	0	0	1600	0.0641766	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189800.652975100	m4-soak	http://127.0.0.1:8081	1	1700	0	0	1700	0.0641766	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189812.390828300	m4-soak	http://127.0.0.1:8081	1	1700	0	0	1700	0.0641766	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189823.833505200	m4-soak	http://127.0.0.1:8081	1	1700	0	0	1700	0.0641766	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189835.304716300	m4-soak	http://127.0.0.1:8081	1	1800	0	0	1800	0.0633473	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140312	1011720	NA
1789189847.030358600	m4-soak	http://127.0.0.1:8081	1	1800	0	0	1800	0.0633473	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789189858.466269400	m4-soak	http://127.0.0.1:8081	1	1900	0	0	1900	0.0634319	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789189869.919288900	m4-soak	http://127.0.0.1:8081	1	1900	0	0	1900	0.0634319	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789189881.359893000	m4-soak	http://127.0.0.1:8081	1	1900	0	0	1900	0.0634319	8.4866455	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789189892.829711100	m4-soak	http://127.0.0.1:8081	1	2000	0	0	2000	0.0634319	0.2467935	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789189904.298841400	m4-soak	http://127.0.0.1:8081	1	2000	0	0	2000	0.0634319	0.2467935	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789189915.759024600	m4-soak	http://127.0.0.1:8081	1	2100	0	0	2100	0.0634319	0.2467935	8.4866455	0	NaN	NaN	NaN	6	3150576	1011720	NA
1789189927.153585800	m4-soak	http://127.0.0.1:8081	1	2100	0	0	2100	0.0634319	0.2467935	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789189938.644634600	m4-soak	http://127.0.0.1:8081	1	2100	0	0	2100	0.0634319	0.2467935	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789189950.108408500	m4-soak	http://127.0.0.1:8081	1	2200	0	0	2200	0.0634319	0.4156183	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789189961.593506100	m4-soak	http://127.0.0.1:8081	1	2200	0	0	2200	0.0634319	0.4156183	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789189973.069840100	m4-soak	http://127.0.0.1:8081	1	2200	0	0	2200	0.0634319	0.4156183	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789189984.471842900	m4-soak	http://127.0.0.1:8081	1	2300	0	0	2300	0.0634319	0.4156183	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789189995.883964000	m4-soak	http://127.0.0.1:8081	1	2300	0	0	2300	0.0634319	0.4156183	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789190007.410664700	m4-soak	http://127.0.0.1:8081	1	2400	0	0	2400	0.0633473	0.4156183	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789190018.916151600	m4-soak	http://127.0.0.1:8081	1	2400	0	0	2400	0.0633473	0.4156183	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789190030.381806300	m4-soak	http://127.0.0.1:8081	1	2400	0	0	2400	0.0633473	0.4156183	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789190041.887195000	m4-soak	http://127.0.0.1:8081	1	2500	0	0	2500	0.0633473	0.4156183	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789190053.449710600	m4-soak	http://127.0.0.1:8081	1	2500	0	0	2500	0.0633473	0.4156183	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789190064.956280600	m4-soak	http://127.0.0.1:8081	1	2500	0	0	2500	0.0633473	0.4156183	8.4866455	0	NaN	NaN	NaN	6	3160816	1011720	NA
1789190076.466771300	m4-soak	http://127.0.0.1:8081	1	2600	0	0	2600	0.0633473	0.4156183	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789190087.929513600	m4-soak	http://127.0.0.1:8081	1	2600	0	0	2600	0.0633473	0.4156183	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789190099.365014200	m4-soak	http://127.0.0.1:8081	1	2700	0	0	2700	0.0633473	0.4156183	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
1789190110.858042900	m4-soak	http://127.0.0.1:8081	1	2700	0	0	2700	0.0633473	0.4156183	8.4866455	0	NaN	NaN	NaN	6	3140344	1011720	NA
